OPID,HHPers,HHSam,WoGem,Sted,Prov,Geslacht,KLeeft,KMotiefV,AfstV,KAfstV,Hvm,KHvm,FactorP,FactorV,year
300001981980,2,2,1655,4,11,1,12,1,540,13,1,1,175,63888,2022
300001981980,2,2,1655,4,11,1,12,1,540,13,1,1,175,63888,2022
300003981980,2,2,743,3,11,2,14,1,350,11,1,1,214,78283,2022
300003981980,2,2,743,3,11,2,14,1,350,11,1,1,214,78283,2022
300004872980,4,3,820,3,11,2,10,4,20,3,9,6,307,112072,2022
300004872980,4,3,820,3,11,2,10,4,20,3,9,6,307,112072,2022
300004872980,4,3,820,3,11,2,10,7,20,3,9,6,307,112072,2022
300004872980,4,3,820,3,11,2,10,7,20,3,9,6,307,112072,2022
300004884980,2,2,796,2,11,2,15,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,431,157415,2022
300004886980,2,2,796,2,11,2,17,8,30,4,9,6,337,122868,2022
300004886980,2,2,796,2,11,2,17,8,80,7,8,5,337,122868,2022
300004889880,1,1,796,2,11,1,8,8,10,3,9,6,332,121039,2022
300004889880,1,1,796,2,11,1,8,6,5,2,18,7,332,121039,2022
300004889880,1,1,796,2,11,1,8,4,31,4,18,7,332,121039,2022
300004889880,1,1,796,2,11,1,8,6,8,2,18,7,332,121039,2022
300004889880,1,1,796,2,11,1,8,6,39,5,18,7,332,121039,2022
300004889880,1,1,796,2,11,1,8,8,25,4,9,6,332,121039,2022
300007874980,4,3,743,3,11,1,11,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,310,113255,2022
300009770980,2,2,1674,2,11,2,18,3,40,5,1,2,222,81037,2022
300009770980,2,2,1674,2,11,2,18,6,30,4,1,2,222,81037,2022
300009770980,2,2,1674,2,11,2,18,6,20,3,1,2,222,81037,2022
300012981980,1,1,848,4,11,1,6,4,1,1,9,6,513,187223,2022
300012981980,1,1,848,4,11,1,6,4,1,1,9,6,513,187223,2022
300012981980,1,1,848,4,11,1,6,4,1,1,9,6,513,187223,2022
